2024-12-21 16:09:45.45 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_Get_All_TEC_By_Client = 1,6133 sec.

2024-12-21 16:09:45.48 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$L$11
2024-12-21 16:09:45.50 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0273 sec.

2024-12-21 16:09:45.53 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$O$9
2024-12-21 16:09:45.55 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0273 sec.

2024-12-21 16:09:45.58 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Brouillon:FAC_Brouillon_New_Invoice = 5,4688 sec.

2024-12-21 16:09:45.60 | GuillaumeCharron | APP_v5.G.5.xlsb | modFAC_Finale:FAC_Finale_Save = 13,9219 sec.

2024-12-21 16:09:46.78 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$F$7
2024-12-21 16:09:46.80 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0273 sec.

2024-12-21 16:09:49.10 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$L$11
2024-12-21 16:09:49.13 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0312 sec.

2024-12-21 16:09:56.92 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$11
2024-12-21 16:09:56.97 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$11 = 0,0547 sec.

2024-12-21 16:09:56.99 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$L$12
2024-12-21 16:09:57.02 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0312 sec.

2024-12-21 16:09:58.39 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$L$13
2024-12-21 16:09:58.41 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0312 sec.

2024-12-21 16:10:09.75 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$13
2024-12-21 16:10:09.78 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$13 = 0,0430 sec.

2024-12-21 16:10:09.81 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$M$13
2024-12-21 16:10:09.83 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0273 sec.

2024-12-21 16:10:12.52 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$S$44
2024-12-21 16:10:12.55 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0273 sec.

2024-12-21 16:10:13.96 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44
2024-12-21 16:10:14.00 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 = 0,0508 sec.

2024-12-21 16:10:14.03 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$S$45
2024-12-21 16:10:14.05 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange = 0,0273 sec.

2024-12-21 16:10:20.31 | GuillaumeCharron | APP_v5.G.5.xlsb | wshFAC_Brouillon:Worksheet_SelectionChange:$F$7
