2024-11-02 13:58:29.00 | Guillaume | APP_v5.D.0.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-11-02 13:58:30.33 | Guillaume | APP_v5.D.0.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,3477 sec. | 31

2024-11-02 13:58:30.43 | Guillaume | APP_v5.D.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-02 13:58:30.73 | Guillaume | APP_v5.D.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,3242 sec. | 31

2024-11-02 13:58:30.83 | Guillaume | APP_v5.D.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,9727 sec. | 31

2024-11-02 13:58:30.92 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed |  | 31
2024-11-02 13:58:31.02 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Remove_Check_Boxes |  | 31
2024-11-02 13:58:31.19 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Remove_Check_Boxes | 0,1914 sec. | 31

2024-11-02 13:58:31.29 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed | 0,3828 sec. | 31

2024-11-02 13:58:32.79 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Activate |  | 31
2024-11-02 13:58:34.01 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$E$3 -  |  | 31
2024-11-02 13:58:34.11 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$E$3 | 0,1250 sec. | 31

2024-11-02 13:58:34.22 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$B$27 -  |  | 31
2024-11-02 13:58:34.31 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$B$27 | 0,1094 sec. | 31

2024-11-02 13:58:34.40 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_New_Invoice |  | 31
2024-11-02 13:58:34.54 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed |  | 31
2024-11-02 13:58:34.63 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed | 0,1016 sec. | 31

2024-11-02 13:58:34.71 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Setup_All_Cells |  | 31
2024-11-02 13:58:34.89 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Setup_All_Cells | 0,1914 sec. | 31

2024-11-02 13:58:34.00 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Setup_All_Cells |  | 31
2024-11-02 13:58:35.13 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Setup_All_Cells | 0,1406 sec. | 31

2024-11-02 13:58:42.75 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Client_Change(Solutions Huwiz Inc. [Carolljo Maher]) |  | 31
2024-11-02 13:58:42.87 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Data_In_A_Range |  | 31
2024-11-02 13:58:42.97 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Data_In_A_Range | 0,1172 sec. | 31

2024-11-02 13:58:43.11 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed |  | 31
2024-11-02 13:58:43.20 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed | 0,1055 sec. | 31

2024-11-02 13:58:43.29 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Client_Change - clientCode = '1528' | 0,5508 sec. | 31

2024-11-02 13:58:43.40 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Get_All_TEC_By_Client |  | 31
2024-11-02 13:58:43.50 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed |  | 31
2024-11-02 13:58:43.59 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Clear_All_TEC_Displayed | 0,1094 sec. | 31

2024-11-02 13:58:43.91 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Filtered_Entries_Copy_To_FAC_Brouillon |  | 31
2024-11-02 13:58:44.00 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Add_Check_Boxes |  | 31
2024-11-02 13:58:44.20 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Add_Check_Boxes | 0,2031 sec. | 31

2024-11-02 13:58:44.34 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_TEC_Filtered_Entries_Copy_To_FAC_Brouillon | 0,4453 sec. | 31

2024-11-02 13:58:44.43 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Get_All_TEC_By_Client | 1,0469 sec. | 31

2024-11-02 13:58:44.54 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_New_Invoice | 10,1602 sec. | 31

2024-11-02 13:58:44.63 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Save | 30,9570 sec. | 31

2024-11-02 13:59:16.77 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$11 -  |  | 31
2024-11-02 13:59:16.91 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$11 | 0,1562 sec. | 31

2024-11-02 13:59:20.54 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$13 -  |  | 31
2024-11-02 13:59:20.68 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$13 | 0,1562 sec. | 31

2024-11-02 13:59:37.08 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$15 -  |  | 31
2024-11-02 13:59:37.22 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$15 | 0,1562 sec. | 31

2024-11-02 13:59:49.59 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$17 -  |  | 31
2024-11-02 13:59:49.75 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$17 | 0,1719 sec. | 31

2024-11-02 13:59:57.23 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 -  |  | 31
2024-11-02 13:59:57.33 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 | 0,1172 sec. | 31

2024-11-02 14:00:03.33 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 -  |  | 31
2024-11-02 14:00:03.47 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 | 0,1523 sec. | 31

2024-11-02 14:00:04.98 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Goto_Onglet_FAC_Finale |  | 31
2024-11-02 14:00:05.28 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Finale:Worksheet_Activate |  | 31
2024-11-02 14:00:05.81 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Finale:Worksheet_Activate | 0,5430 sec. | 31

2024-11-02 14:00:06.05 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Goto_Onglet_FAC_Finale | 1,0859 sec. | 31

